,floor,szhil,skitchen,roof_heigh,rooms,plan,sanuzel,balcon,type_remont,type_build,vtor_perv,price_meter,price_object,xlon,ylat,Tashkent,min_eucl
9143,9,72.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Требует ремонта,Панельный,Вторичный рынок,611.11,44000.0,69.28595,41.35389,True,0.0022476487714913067
9145,8,136.0,0.0,0.0,4.0,,,0.0,Черновая отделка,Кирпичный,Новостройки,1397.06,190000.0,69.28026161,41.35392295,True,0.007935866351861083
9146,4,65.0,0.0,0.0,3.0,,Раздельный,1.0,Средний,,Вторичный рынок,541.54,35200.0,69.27937,41.2826,True,0.011700585284507316
9147,4,65.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Требует ремонта,Кирпичный,Вторичный рынок,592.31,38500.0,69.21812,41.32463,True,0.007452877699256863
9148,4,260.0,0.0,0.0,8.0,Пентхаус,2 санузла и более,0.0,Евроремонт,Кирпичный,Новостройки,461.54,120000.0,69.21812,41.32463,True,0.007452877699256863
9149,4,56.0,0.0,0.0,2.0,,,0.0,,,Вторичный рынок,641.07,35900.0,69.2243047,41.2831156,True,0.008964243696486685
9150,9,40.0,0.0,0.0,2.0,Студия,Совмещенный,0.0,Евроремонт,,Вторичный рынок,775.0,31000.0,69.20438,41.269870000000004,True,0.004690757934486118
9152,5,85.0,0.0,0.0,4.0,Раздельная,Раздельный,0.0,Средний,Кирпичный,Вторичный рынок,517.65,44000.0,69.21923496,41.28162264,True,0.0067974315245662815
9153,8,136.0,0.0,0.0,3.0,,,0.0,Авторский проект,,Новостройки,1911.76,260000.0,69.28595,41.35389,True,0.0022476487714913067
9154,8,140.0,0.0,0.0,3.0,,,0.0,,,Новостройки,1928.57,270000.0,69.29648,41.27485,True,0.02013739546217117
9155,9,72.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,652.78,47000.0,69.27937,41.2826,True,0.011700585284507316
9156,7,59.0,0.0,3.0,3.0,Раздельная,Раздельный,0.0,Черновая отделка,Кирпичный,Новостройки,831.29,49046.0,69.19751354,41.25722456,True,0.0022027700935817805
9157,4,48.0,0.0,0.0,2.0,,Раздельный,0.0,,Панельный,Вторичный рынок,708.33,34000.0,69.20438,41.269870000000004,True,0.004690757934486118
9158,4,56.0,0.0,0.0,2.0,,,0.0,,,Вторичный рынок,642.86,36000.0,69.21012349,41.27053582,True,0.006714335227888448
9160,4,35.0,0.0,0.0,1.0,,,0.0,,,Вторичный рынок,642.86,22500.0,69.21042524,41.27038437,True,0.007047042915613642
9161,4,70.0,0.0,0.0,3.0,,,0.0,,,Вторичный рынок,685.71,48000.0,69.21689373,41.26548464,True,0.01516126083616819
9162,4,54.0,0.0,0.0,2.0,,,1.0,Средний,Кирпичный,Вторичный рынок,620.37,33500.0,69.27937,41.2826,True,0.011700585284507316
9164,4,28.0,0.0,0.0,1.0,,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,839.29,23500.0,69.20438,41.269870000000004,True,0.004690757934486118
9165,4,80.0,0.0,0.0,3.0,,,0.0,,,Вторичный рынок,1062.5,85000.0,69.34586999999999,41.33612,True,0.020572223433542192
9166,4,52.0,0.0,0.0,2.0,Смежная,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,865.38,45000.0,69.27092548,41.29489059,True,0.004494584476725382
9167,4,60.0,0.0,0.0,2.0,,,0.0,Авторский проект,,Вторичный рынок,1000.0,60000.0,69.24348,41.28218,True,0.02241700577686989
