,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,lat,lng
109,Honduras,3,+1,,,,3,,0.3,14.824173968000025,-86.60026424299997
110,Puerto Rico,3,,,,,3,,1.0,18.22260649800006,-66.46895343099999
111,Monaco,2,,,,,2,,,43.73170451200008,7.424355000000048
112,Nigeria,2,,,,,2,,,9.593696882000074,8.106777828000077
113,Aruba,2,,,,,2,,,12.50908537500004,-69.97050301699994
114,Burkina Faso,2,,,,,2,,0.1,12.286319460000072,-1.7441041949999772
115,Cameroon,2,,,,,2,,0.1,5.672331431000032,12.737869296000042
116,DRC,2,,,,,2,,,-22.329389999999933,-49.08553999999998
117,Ghana,2,,,,,2,,0.1,7.980995107000069,-1.2497723419999716
118,Namibia,2,+2,,,,2,,0.8,-22.138976121999974,17.22149898400005
119,Saint Martin,2,,,,,2,,,18.080477531000042,-63.06021562199999
120,Trinidad and Tobago,2,+1,,,,2,,1.4,10.47267427600002,-61.26048813699998
121,Venezuela,2,,,,,2,,0.1,7.120733800000039,-66.16282028899997
122,Guyana,1,,1.0,,,0,,,4.796422680000035,-58.97538657499996
123,Sudan,1,,1.0,,,0,,,16.053254132000063,30.009189122000066
124,Andorra,1,,,,,1,,,42.54530320100008,1.5762863020000282
125,Jordan,1,,,,1.0,0,,0.1,31.248189480000065,36.78810430300007
126,Nepal,1,,,,1.0,0,,,28.25913770300008,83.94416346900005
127,Antigua and Barbuda,1,,,,,1,,,17.077664637000055,-61.79871012099994
128,Bhutan,1,,,,,1,,,27.41482682700007,90.42623098500007
129,Cayman Islands,1,,,,,1,,,19.31842329500006,-81.24322039299994
130,Ivory Coast,1,,,,,1,,,7.629182541000034,-5.554728587999932
131,Curaçao,1,,,,,1,,,12.193507423000028,-68.97143527599997
132,Ethiopia,1,,,,,1,,,8.619088938000061,39.644750130000034
133,Gabon,1,,,,,1,,0.4,-0.6239040589999263,11.781759891000036
134,Gibraltar,1,,,,1.0,0,,,36.13600766900004,-5.348661838999931
135,Guadeloupe,1,,,,,1,,,16.14475253100005,-61.65011999999996
136,Guatemala,1,,,,,1,,0.1,15.697237961000042,-90.36397945999994
137,Guinea,1,,,,,1,,0.1,10.435445941000069,-10.942500889999963
138,Vatican City,1,,,,,1,,,41.90225000000004,12.45330000000007
139,Kenya,1,,,,,1,,,0.5284306580000475,37.88969855200003
140,Mauritania,1,,,,,1,,0.2,20.25950735200007,-10.331488709999974
141,Mongolia,1,,,,,1,,0.3,46.83469147400007,103.06763313100004
142,Rwanda,1,+1,,,,1,,0.1,-1.9983949569999595,29.956312610000055
143,St. Barth,1,,,,,1,,,17.90280861100007,-62.82979691899993
144,Saint Lucia,1,,,,,1,,,13.898639726000056,-60.967300455999975
145,St. Vincent Grenadines,1,,,,,1,,,13.201840619000052,-61.20075147199998
146,Suriname,1,,,,,1,,,3.9317774090000626,-56.01360780899995
147,Eswatini,1,+1,,,,1,,0.9,-26.56500356099997,31.49799039000004
148,Togo,1,,,,,1,,0.1,8.539049810000051,0.9744440640000676
149,U.S. Virgin Islands,1,+1,,,,1,,,17.728114454000035,-64.81908749999997
150,Total:,150657,5186,5619.0,203.0,73734.0,71304,5731.0,19.3,-8.717599999999948,116.16210000000001
