,"Country, Other",ratio,lat,lng,Total Cases,Deaths/ 1M pop,percent
176,Turks and Caicos,0.87,21.758132630000034,-71.82311799799999,577,129.0,0.0
177,Tanzania,4.13,-6.438400132999959,34.995322712000075,509,0.3,0.0
178,Sint Maarten,3.77,18.039880898000035,-63.064032819999966,504,442.0,0.0
179,Taiwan,1.43,23.752816021000058,120.95346396100001,490,0.3,0.0
180,Papua New Guinea,1.04,-6.475589906999971,145.253800898,479,0.6,0.0
181,Comoros,1.56,-11.662553529999968,43.35421636400008,448,8.0,0.0
182,Burundi,0.22,-3.322303981999937,29.926441276000048,448,0.08,0.0
184,Mauritius,2.81,-20.283556218999934,57.57181746400005,356,8.0,0.0
185,Isle of Man,7.14,54.22823097300005,-4.538760937999939,336,282.0,0.0
190,Saint Martin,2.51,18.080477531000042,-63.06021562199999,239,155.0,0.0
192,Cayman Islands,0.49,19.31842329500006,-81.24322039299994,205,15.0,0.0
193,Barbados,3.95,13.172221979000028,-59.55642447799994,177,24.0,0.0
194,Bermuda,5.17,32.30681773200007,-64.77004183699995,174,145.0,0.0
195,Brunei,2.07,4.520762436000041,114.7507502090001,145,7.0,0.0
196,Monaco,0.7,43.73170451200008,7.424355000000048,143,25.0,0.0
198,Liechtenstein,0.93,47.14114224000008,9.553182027000048,107,26.0,0.0
199,Antigua and Barbuda,3.16,17.077664637000055,-61.79871012099994,95,31.0,0.0
200,Curaçao,1.28,12.193507423000028,-68.97143527599997,78,6.0,0.0
202,British Virgin Islands,2.13,18.430308339000078,-64.59420749999998,47,33.0,0.0
204,Fiji,6.9,-17.835402366999972,177.96333137200008,29,2.0,0.0
215,Montserrat,7.69,16.739171964000036,-62.18928012099997,13,200.0,0.0
218,Western Sahara,10.0,24.658502978000058,-13.13948587699997,10,2.0,0.0
222,China,5.45,36.567348398000036,103.93002703300004,85102,3.0,0.0
